time,mean_pressure,min_pressure,max_pressure,std_pressure,pressure_range,anomaly
266400,55.62126698865171,-1.2939453e-06,102.8082,20.02728186983883,102.8082012939453,0
267300,52.081755304409164,-1.2939453e-06,89.44113,16.97404711280664,89.4411312939453,0
268200,51.660738486000184,-1.2939453e-06,89.36891,16.756393131336417,89.3689112939453,0
269100,51.569810545040525,-1.2939453e-06,89.303856,16.763515103078795,89.3038572939453,0
270000,52.30422019733855,-1.2939453e-06,89.93782,16.958445925827395,89.9378212939453,0
270900,52.2408241139042,-1.2939453e-06,89.88185,16.96379397968122,89.8818512939453,0
271800,52.17892052223753,-1.2939453e-06,89.82589,16.970583192783383,89.8258912939453,0
272700,53.79959466440923,-1.2939453e-06,103.27668,17.867862926208375,103.2766812939453,0
273600,54.69341185683347,-1.2939453e-06,104.2869,18.551888407689468,104.2869012939453,0
274500,54.77050848562135,-1.2939453e-06,104.4678,18.571218083227077,104.4678012939453,0
275400,54.84711610102536,-1.2939453e-06,104.64687,18.59102209501891,104.64687129394531,0
276300,54.92350654546985,-1.2939453e-06,104.8256,18.611380613317163,104.8256012939453,0
277200,54.35960153208605,-1.2939453e-06,103.769394,18.385702222053183,103.76939529394531,0
278100,54.41538143764159,-1.2939453e-06,103.91875,18.40550367937274,103.9187512939453,0
279000,53.274071278298116,-1.2939453e-06,101.33426,18.001215287564747,101.3342612939453,0
279900,53.26413983410617,-1.2939453e-06,101.569374,18.020768983327113,101.5693752939453,0
280800,53.40478551743948,-1.2939453e-06,100.744,17.98121316082284,100.7440012939453,0
